ABC19980120.1830.0957	9	1	timex3	t1	1
ABC19980120.1830.0957	9	2	timex3	t1	1
ABC19980120.1830.0957	9	3	timex3	t1	1
ABC19980120.1830.0957	21	6	timex3	t2	1
ABC19980120.1830.0957	21	7	timex3	t2	1
APW19980301.0720	0	12	timex3	t1	1
APW19980301.0720	1	8	timex3	t2	1
APW19980301.0720	3	1	timex3	t3	1
APW19980301.0720	4	1	timex3	t4	1
APW19980301.0720	4	38	timex3	t5	1
APW19980301.0720	7	14	timex3	t6	1
APW19980301.0720	9	1	timex3	t7	1
APW19980301.0720	10	0	timex3	t8	1
APW19980301.0720	10	1	timex3	t8	1
APW19980301.0720	11	10	timex3	t9	1
APW19980301.0720	11	11	timex3	t9	1
APW19980301.0720	12	16	timex3	t10	1
APW19980301.0720	12	17	timex3	t10	1
APW19980301.0720	13	4	timex3	t11	1
APW19980301.0720	13	9	timex3	t12	1
APW19980301.0720	13	10	timex3	t12	1
APW19980301.0720	14	23	timex3	t13	1
APW19980301.0720	14	24	timex3	t13	1
APW19980301.0720	15	20	timex3	t14	1
APW19980301.0720	16	7	timex3	t15	1
APW19980301.0720	16	8	timex3	t15	1
APW19980301.0720	16	9	timex3	t15	1
APW19980301.0720	17	19	timex3	t16	1
APW19980301.0720	17	20	timex3	t16	1
APW19980301.0720	17	21	timex3	t16	1
APW19980301.0720	17	25	timex3	t17	1
APW19980301.0720	17	26	timex3	t17	1
APW19980306.1001	0	20	timex3	t1	1
APW19980306.1001	0	22	timex3	t2	1
APW19980306.1001	0	23	timex3	t2	1
APW19980306.1001	0	24	timex3	t2	1
APW19980306.1001	1	7	timex3	t3	1
APW19980306.1001	6	10	timex3	t4	1
APW19980306.1001	6	21	timex3	t5	1
APW19980306.1001	6	22	timex3	t5	1
APW19980306.1001	6	23	timex3	t5	1
APW19980306.1001	6	34	timex3	t6	1
APW19980306.1001	6	35	timex3	t6	1
APW19980306.1001	9	9	timex3	t7	1
APW19980306.1001	9	23	timex3	t8	1
APW19980306.1001	13	23	timex3	t9	1
APW19980306.1001	13	24	timex3	t9	1
APW19980306.1001	17	4	timex3	t10	1
APW19980306.1001	18	13	timex3	t11	1
APW19980306.1001	18	14	timex3	t11	1
APW19980306.1001	18	15	timex3	t11	1
APW19980306.1001	19	19	timex3	t12	1
APW19980306.1001	22	6	timex3	t13	1
